n backests overests
12 0.04917190218855218742821416836751256896149294592195937236702357198036946605462089096963098971499067392632972399118422204391919674627064053322595678001897935893317010693522600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.95129698405945487246396140228248119134100478893446925670332877850008469137069782630112455977734764291542899669706713953624413412842678399274289411760274423396613789822788000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13 0.05027330453531501655842550784922525112964426398396927293709786702804890331352903820595649718949286395583433051198193838244721509967150016981684909454251310441628729364674600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.95177914046968435900098394018127642944052773259825774459298168206262518164391301888527482978022649908979017677730839974914993450986459607116479297532397420066190046600123000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
14 0.05048506025703130947094094365471753802084562970840044745922098048437441519515906967365885441183365753431372828421492056800207209795447676966713883219283817579143760134398300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.97516761551547399808485526801019768693361314359091985239487755342504244497812127646645524826229289187658021871642798192891308483323070871402863925062055404193873828484445000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
15 0.05340885076458445456454013319457076215590111315741205812677243357691114885966948949914479306372093037467251947868947365770491254369668603750902113552192197307073844734502000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.99343774689904516758760774176726444435054247936152445484077106767789494465007282021247757193761047349751951704375449956245081718065373632903656381567416432689608660500927000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
16 0.05350659531911204449682737535925163057745036737834427197844514290350184976772180457613082803737139719338961161665596679855528053531079190505626323895797864625338549507905900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.99500276714615100524233307127678218043952015127131243002052055272636429702327585378699830193279231239161093967456608332436685740038657898172435413941832366135222316535838000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
17 0.05852805570100924602212757897637068265967047628733818909402359304415630471404921934157950022922308787910768927238468708100558815396843604142688366403986901602524561211610400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.99517485763007303337891468616534438425281222061855458260533935044445620716916977266410037166888183747332335344176097336514144872725585670672632859157096802361259920606914000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
18 0.06065282828576236095026538901428025605300362230318307711766214235402986945265672295874912178384040984981669307624439917778528544045614362788896624087793986250563559651843000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.99600386361697028630985384632690408909511909232363476801427444857302621897765957227274410279725329256526996375995621281377318028475987013681881834442256780390506833404833000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
19 0.06082375331556846991927235852482445076644884953146793269136428986285589667821498119417450368598707819366700939966340326786661651962871708829047417586826020335979056877712700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.99805727949366304566859160635402779297953846745108511339783606613672567751024737149795414600253319924860835307376193979113747033957730098319951124328490385460615349926074000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
20 0.06114772187083557139504978190026165125985642362371298140786267477533797736876372187458338832529031892539884639989312069534345426971610128188575839178322046878683305978167700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -1.00094886483421261381227917936130211510593518165762434207931528184054032244302570032000917718676402253248848783003306945446992899710832017864064702120699969891600710958220000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21 0.06172705713390408441942676005891257174128488165269193306969206501172727983783009308702136260768463600862909208067336002236038090137808949510539494036669994493248830394273100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -1.00127863973754724368965471566262452400849820192165624098620986914126361182911142780190796409137509223999929492743863302678335508263627782853559381254496356280778986965650000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
